"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"VALUE";
"2";"";"BATTERYAA-KIT";"BATTERY-AA-KIT";"BAT3, BAT4";"Battery Holders";"BATT-08316";"";
"1";"";"DIODEPTH";"DIODE-1N4001";"D2";"Diode";"";"";
"2";"";"TRANSISTOR_NPNTO92";"TO-92";"Q1, Q2";"Generic NPN BJT";"";"";
"1";"!Cutting";"LED5MM";"LED5MM";"LED4";"LED";"";"";
"2";"10k";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R3, R4";"Resistor";"";"";
"1";"1k";"R-US_0309/V";"0309V";"R7";"RESISTOR, American symbol";"";"";
"9";"1k";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R1, R2, R12, R13, R14, R16, R17, R18, R19";"Resistor";"";"";
"2";"50k";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R6, R15";"Resistor";"";"";
"1";"ARM";"LED5MM";"LED5MM";"LED2";"LED";"";"";
"1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"J1";"AVR ISP 6 Pin";"";"";
"1";"Arm/Cut";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"JP6";"Standard 2-pin 0.1" header. Use with";"";"";
"1";"BunchesOfStuff";"M03SCREW";"SCREWTERMINAL-3.5MM-3";"JP3";"Header 3";"";"";
"1";"CUT";"LED5MM";"LED5MM";"LED3";"LED";"";"";
"1";"Cutting";"LED5MM";"LED5MM";"LED1";"LED";"";"";
"1";"NichromeWire";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"JP1";"Standard 2-pin 0.1" header. Use with";"";"";
"1";"Power";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"JP2";"Standard 2-pin 0.1" header. Use with";"";"";
"1";"RELAYPTH4";"RELAYPTH4";"RELAY-JZC";"U$1";"SPDT relay (COM-00101)";"";"";
"2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"STANDOFF1, STANDOFF2";"#4 Stand Off";"";"";
"1";"TINY45-20-DIP";"ATTINY45TINY45-20-DIP";"DIP08";"U2";"Atmel 8-pin 2/4/8kB flash uC";"IC-09439";"TINY45-20-DIP";
"1";"VSense";"M023.5MM_LOCK";"SCREWTERMINAL-3.5MM-2_LOCK";"JP4";"Standard 2-pin 0.1" header. Use with";"";"";
